Meta-Action Label,Start Time (s),End Time (s)
[1] error,0,3.04
[7] Picking left,3.04,3.44
[6] Picking in front,3.44,3.87
[7] Picking left,3.87,4.24
[6] Picking in front,4.24,4.67
[6] Picking in front,4.67,5.04
[6] Picking in front,5.04,5.41
[6] Picking in front,5.41,5.91
[6] Picking in front,5.91,6.37
[6] Picking in front,6.37,6.74
[6] Picking in front,6.74,7.14
[6] Picking in front,7.14,7.51
[6] Picking in front,7.51,7.91
[6] Picking in front,7.91,8.34
[6] Picking in front,8.34,8.71
[6] Picking in front,8.71,10.34
[7] Picking left,10.34,11.31
[7] Picking left,11.31,11.71
[7] Picking left,11.71,12.18
[7] Picking left,12.18,12.81
[6] Picking in front,12.81,14.45
[12] Assemble system,14.45,15.15
[12] Assemble system,15.15,15.98
[12] Assemble system,15.98,17.22
[12] Assemble system,17.22,17.88
[11] Put down subsystem,17.88,19.82
[1] Meta action,19.82,21.96
[1] Meta action,21.96,22.49
[12] Assemble system,22.49,22.86
[6] Picking in front,22.86,23.42
[5] Put down screwdriver,23.42,23.82
[6] Picking in front,23.82,24.19
[6] Picking in front,24.19,24.56
[12] Assemble system,24.56,25.03
[12] Assemble system,25.03,29.06
[6] Picking in front,29.06,29.93
[12] Assemble system,29.93,30.33
[1] Meta action,30.33,30.73
[7] Picking left,30.73,31.26
[7] Picking left,31.26,32.43
[11] Put down subsystem,32.43,32.83
[1] Meta action,32.83,35.1
[2] Consult sheets,35.1,35.5
[12] Assemble system,35.5,35.97
[5] Put down screwdriver,35.97,36.57
[7] Picking left,36.57,36.97
[10] Take subsystem,36.97,37.37
[10] Take subsystem,37.37,37.74
[12] Assemble system,37.74,38.37
[12] Assemble system,38.37,38.91
[1] error,38.91,39.37
[5] Put down screwdriver,39.37,39.87
[5] Put down screwdriver,39.87,41.78
[12] Assemble system,41.78,42.28
[12] Assemble system,42.28,42.98
[12] Assemble system,42.98,43.41
[12] Assemble system,43.41,44.38
[12] Assemble system,44.38,44.78
[12] Assemble system,44.78,45.65
[12] Assemble system,45.65,46.31
[12] Assemble system,46.31,46.71
[11] Put down subsystem,46.71,47.38
[12] Assemble system,47.38,47.75
[1] error,47.75,48.21
[1] Meta action,48.21,48.58
[7] Picking left,48.58,49.05
[2] Consult sheets,49.05,49.55
[1] Meta action,49.55,49.92
[2] Consult sheets,49.92,50.58
[2] Consult sheets,50.58,50.95
[3] Turn sheets,50.95,51.75
[2] Consult sheets,51.75,52.12
[6] Picking in front,52.12,52.69
[12] Assemble system,52.69,53.09
[1] Meta action,53.09,53.89
